rank,zip,pop
1,20906,70174
2,21234,68938
3,20878,64126
4,21740,61803
5,20874,61045
6,21122,60461
7,21117,58673
8,21215,58448
9,20904,57035
10,21222,54873
11,20744,54453
12,21061,54059
13,20902,52484
14,20850,51568
15,21206,51561
16,21224,50433
17,21218,49271
18,20854,49194
19,21228,48133
20,21207,47687
21,21229,47644
22,21043,46932
23,20852,46904
24,20774,46812
25,20783,45559
26,20772,44948
27,21921,44896
28,21044,44034
29,21221,43110
30,20910,42868
31,21502,42583
32,20706,42397
33,21702,42028
34,21042,40980
35,21804,40402
36,21220,40211
37,20747,39946 
37,21045,39946
38,20735,39323
39,20743,39234
40,20877,38885
41,21236,38573
42,21784,38390
43,20748,38011
44,21093,37917
45,20785,37601
46,21701,37185
47,21401,37081
48,21157,36985
49,20817,36681
50,21208,36441
51,21703,36265
52,20901,36154
53,21244,35724
54,21014,35681
55,21144,35240
56,20723,35091
57,21230,34947
58,21217,34487
59,21060,34360
60,21136,34164
61,20886,34100
62,21225,33927
63,21227,33822
64,21113,33736
65,21212,33342
66,21742,33180
67,20707,32556
68,20782,32553
69,21075,32496
70,21133,32489
71,20740,31848
72,21213,31701
73,21216,31409
74,20603,31401
75,20853,31178
76,21239,31133
77,21403,30855
78,20815,30512
79,21237,30286
80,20784,30184
81,21801,30007
82,21009,29997
83,20721,29811
84,21771,29265
85,21015,29192
86,20814,28930
87,20876,28919
88,20745,28472
89,21209,28015
90,21146,28006
91,20705,27873
92,20879,27871
93,20746,27241
94,20708,27089
95,20715,26768
96,21114,26759
97,20832,26448
98,20601,26401
99,20912,26239
100,20903,26206
101,20602,26078
102,21030,25637
103,20770,24629
104,21001,24453
105,21040,24424
106,21811,23701
107,21223,23560
108,20653,23546
109,20720,23502
110,21601,23458
111,20659,23358
112,20716,22083
113,20737,21787
114,21012,21772
115,21204,21628
116,21037,21524
117,21214,21177
118,21202,21010
119,20646,20974
120,21158,20929
121,21286,20483
122,21409,20352
123,20871,20008
124,20895,19637
125,20657,18963
126,21108,18938
127,21050,18586
128,20905,18123
129,21078,18097
130,20724,17736
131,21901,17698
132,21076,17204
133,21201,17136
134,21613,17109
135,20794,16601
136,21704,16518
137,20816,16367
138,21211,16299
139,21085,16177
140,20866,16171
141,21231,16160
142,21046,15988
143,21210,15213
144,20639,15139
145,20851,15106
146,21532,15062
147,21074,14872
148,21205,14580
149,21128,14425
150,20855,14302
151,21550,14112
152,20650,14096
153,20613,13855
154,20619,13533
155,20882,13450
156,21620,13155
157,20872,12940
158,21774,12734
159,20678,12418
160,21666,12363
161,21047,12096
162,21853,11693
163,20781,11626
164,21788,11563
165,20636,11523
166,21102,11299
167,21911,11238
168,20607,11234
169,21769,11189
170,21054,11009
171,21617,10741
172,21842,10669
173,21029,10595
174,21090,10494
175,20841,10481
176,21048,10465
177,21713,10379
178,20755,10297
179,21787,10186
180,21793,10163
181,20640,10018
182,20710,9794
183,21629,9726
184,20732,9664
185,20712,9496
186,20736,9491
187,21219,9427
188,21795,9236
189,21783,9022
190,21797,8672
191,21035,8423
192,21032,8276
193,20695,7924
194,20833,7750
195,21084,7583
196,21131,7456
197,20769,7439
198,20634,7334
199,21120,7214
200,21163,7158
201,20711,7085
202,21904,7005
203,20754,6910
204,21851,6869
205,21727,6833
206,20685,6731
207,20742,6719
208,21754,6689
209,21017,6597
210,21875,6460
211,21402,6409
212,20622,6301
213,21226,6257
214,20837,6225
215,20616,6106
216,21903,6067
217,21632,6065
218,20722,6022
219,21643,6015
220,21154,5911
221,21619,5891
222,20637,5682
223,21722,5667
224,21776,5607
225,21755,5581
226,21152,5511
227,21773,5494
228,21770,5453
229,21087,5407
230,21826,5331
231,21791,5328
232,21716,5311
233,21104,5300
234,21161,5221
235,21638,5210
236,20759,5011
237,21111,4995
238,21655,4966
239,21758,4912
240,21710,4881
241,21817,4777
242,21863,4741
243,21639,4639
244,20714,4622
245,21013,4608
246,20676,4422
247,21162,4354
248,21057,4284
249,20764,4177
250,21536,4145
251,21782,4003
252,21660,3881
253,21918,3853
254,21658,3840
255,21830,3808
256,21750,3732
257,20777,3616
258,21756,3600
259,20664,3501
260,21034,3475
261,21140,3431
262,21673,3423
263,21738,3416
264,21132,3362
265,21663,3356
266,21053,3302
267,21849,3299
268,21562,3271
269,21837,3266
270,21757,3192
271,20776,3149
272,21850,3096
273,21028,3021
274,20662,2994
275,20762,2964
276,21746,2953
277,20623,2934
278,21160,2845
279,21539,2807
280,20860,2805
281,21890,2799
282,20733,2788
283,21651,2735
284,21915,2732
285,21005,2723
286,21625,2720
287,21919,2696
288,21631,2694
289,21813,2654
290,21561,2606
291,20677,2603
292,21155,2584
293,21917,2577
294,21661,2502
295,21250,2415
296,21737,2304
297,21794,2280
298,21036,2275
299,21252,2271
300,20689,2247
301,20751,2240
302,21520,2212
303,20675,2161
304,21649,2131
305,20763,2113
306,20818,2019
307,21822,2013
308,21623,2000
309,21871,1978
310,20778,1972
311,21530,1961
312,21777,1951
313,21635,1912
314,21531,1895
315,21798,1894
316,21874,1872
317,21668,1815
318,21838,1810
319,21678,1771
320,20688,1739
321,21545,1725
322,20842,1712
323,20861,1665
324,21780,1638
325,20670,1552
326,21555,1541
327,20611,1535
328,21557,1530
329,20686,1471
330,21640,1440
331,21645,1418
332,20624,1410
333,21841,1373
334,20620,1365
335,20684,1362
336,21659,1355
337,21541,1354
338,20692,1273
339,21636,1147
340,20609,1135
341,21711,1106
342,21521,1104
343,21869,1100
344,21779,1062
345,20674,1059
346,20621,1046
347,21719,1036
348,21622,1030
349,21767,1019
350,20645,998
351,20779,985
352,21654,960
353,20693,947
354,21778,940
355,21251,933
356,20896,929
357,21821,924
358,21856,913
359,21733,911
360,21723,893
361,21913,884
362,20658,875
363,20868,864
364,21657,853
365,21607,839
366,21861,815
367,21671,799
368,20617,787
369,21914,771
370,21810,765
371,20690,753
372,20680,745
373,21524,740
374,20608,738
375,20667,701
376,21734,695
377,21542,676
378,21864,645
379,20625,615
380,21082,611
381,21814,603
382,21071,595
383,21628,531
384,21766,528
385,21872,516
386,21920,515
387,21865,504
388,21676,490
389,20758,466
390,21829,461
391,20606,459
392,21529,457
393,20880,455
393,1662,455
394,20618,454
395,20687,449
396,21664,439
397,20765,415
398,21538,408
399,21610,386
400,20632,381
401,20630,377
402,20629,374
403,21612,360
404,20612,358
405,21677,353
406,21405,352
407,21840,349
408,20626,335
409,21051,330
410,20615,329
411,20862,327
412,20812,325
413,21156,320
414,21153,316
415,21130,296
416,21835,294
417,21650,290
418,20628,279
419,21077,271
420,21665,263
421,20899,260
422,21679,257
423,21648,256
424,20838,252
425,21052,251
426,21667,235
427,21669,231
428,1010,217
428,1647,217
429,21902,212
430,21624,207
431,21634,200
432,1523,199
432,1714,199
433,21930,180
434,21762,167
435,1522,164
435,1543,164
436,21781,159
437,21056,146
438,21718,140
439,21672,139
440,21652,138
441,21824,113
442,21540,109
443,1675,108
443,1653,108
444,21641,102
445,20839,100
446,21802,89
447,21626,83
448,21866,80
449,1644,77
449,1717,77
450,21862,68
451,21790,55
452,21916,41
453,20660,26
454,21627,17
455,21867,10